Player,Squad,Season,Nation,Pos,Age,Goals,Assists,npxG,xA,Shots,Shot_Dist,SoT_p90,Pass_Cmp_Pct,Prg_Pass_Dist_p90,Long_Pass_Cmp_Pct,Touches_p90,Dribbles_Succ_p90,Prg_Carry_Dist_p90,Tackles,Interceptions,Blocks_p90,SCA,GCA_p90,Minutes,Goals_p90,Assists_p90,npxG_p90,xA_p90,Shots_p90,Tackles_p90,Interceptions_p90,SCA_p90,General_Position,x,y,z,Cluster_ID,Role_Probability,Role_Name
Martin Agirregabiria,Alavés,2018,ESP,DF,21.0,0.0,4.0,0.0,1.1,4.0,35.9,0.049234135667396,68.9,265.6673960612692,45.5,52.38512035010941,0.8862144420131292,74.93435448577681,37.0,29.0,1.62472647702407,21.0,0.1969365426695842,1828.0,0.0,0.1969365426695842,0.0,0.0541575492341356,0.1969365426695842,1.8216630196936543,1.4277899343544858,1.0339168490153172,Defender,1.2218912,4.534096,4.6579976,2,0.9998262675116996,Conservative Defender
Alexis,Alavés,2018,ESP,DF,31.0,1.0,0.0,0.7,0.1,12.0,13.1,0.1236263736263736,73.8,221.90934065934067,55.4,39.56043956043956,0.2472527472527472,35.934065934065934,33.0,40.0,1.9368131868131868,12.0,0.0412087912087912,2184.0,0.0412087912087912,0.0,0.0288461538461538,0.0041208791208791,0.4945054945054945,1.35989010989011,1.6483516483516485,0.4945054945054945,Defender,2.5507898,3.663405,4.8967614,2,0.9999999950750508,Conservative Defender
Rubén Duarte,Alavés,2018,ESP,DF,21.0,0.0,2.0,0.5,1.9,8.0,23.4,0.0,70.2,250.2151543498597,37.5,51.73526660430309,0.4630495790458372,53.882132834424695,56.0,44.0,3.1150608044901773,35.0,0.1262862488306828,2138.0,0.0,0.0841908325537885,0.0210477081384471,0.0799812909260991,0.3367633302151543,2.3573433115060807,1.852198316183349,1.4733395696913003,Defender,2.4288568,4.3574166,4.1469564,2,0.9999903421788356,Conservative Defender
Rodrigo Ely,Alavés,2018,BRA,DF,23.0,1.0,0.0,1.0,0.1,20.0,14.2,0.1672240802675585,71.0,211.9732441471572,54.4,44.21404682274248,0.1003344481605351,58.26086956521739,27.0,38.0,2.0735785953177257,14.0,0.0,2691.0,0.0334448160535117,0.0,0.0334448160535117,0.0033444816053511,0.6688963210702341,0.903010033444816,1.2709030100334449,0.4682274247491638,Defender,2.4548256,3.4173186,4.8311515,2,0.9999999992924452,Conservative Defender
Víctor Laguardia,Alavés,2018,ESP,DF,27.0,2.0,0.0,0.8,0.2,6.0,8.3,0.1176470588235294,67.1,272.0,46.3,43.47058823529412,0.0,56.64705882352941,18.0,21.0,2.117647058823529,6.0,0.0,1530.0,0.1176470588235294,0.0,0.0470588235294117,0.0117647058823529,0.3529411764705882,1.0588235294117647,1.2352941176470589,0.3529411764705882,Defender,1.8918755,3.319694,4.826954,2,0.9999999999943148,Conservative Defender
Guillermo Maripán,Alavés,2018,CHI,DF,23.0,0.0,0.0,0.5,0.0,5.0,8.2,0.0589005235602094,75.0,170.8115183246073,50.0,37.40183246073298,0.3534031413612565,54.42408376963351,33.0,27.0,1.3547120418848169,2.0,0.0589005235602094,1528.0,0.0,0.0,0.0294502617801047,0.0,0.2945026178010471,1.943717277486911,1.5903141361256543,0.1178010471204188,Defender,1.9014574,6.059889,4.6959534,1,0.9961491502023484,Stopper / No-Nonsense CB
Khaled Adénon,Amiens,2018,BEN,DF,32.0,0.0,1.0,0.5,0.3,5.0,6.3,0.030811365970558,82.0,243.53303663129068,68.0,46.34029441971927,0.030811365970558,68.80178021225608,41.0,50.0,1.5405682985279012,7.0,0.030811365970558,2921.0,0.0,0.030811365970558,0.015405682985279,0.0092434097911674,0.1540568298527901,1.2632660047928792,1.5405682985279012,0.2156795617939062,Defender,6.574274,5.72648,3.5509157,4,0.999768590867594,Commanding Center Back
Danilo Avelar,Amiens,2018,BRA,"DF,FW",28.0,1.0,0.0,0.4,1.9,8.0,17.7,0.0521134916039374,63.7,316.4331210191083,39.6,54.2501447596989,0.5211349160393747,82.44354371742907,41.0,37.0,1.719745222929936,28.0,0.2084539664157498,1727.0,0.0521134916039374,0.0,0.0208453966415749,0.0990156340474811,0.4169079328314997,2.136653155761436,1.9281991893456865,1.459177764910249,Defender,1.3294793,4.6607375,4.5644555,2,0.998941868724368,Conservative Defender
Issa Cissokho,Amiens,2018,SEN,DF,32.0,0.0,0.0,0.1,0.5,4.0,24.6,0.0552147239263803,73.9,287.83435582822085,46.9,54.55214723926381,0.2208588957055214,88.23312883435582,33.0,25.0,2.3190184049079754,17.0,0.1104294478527607,1630.0,0.0,0.0,0.005521472392638,0.0276073619631901,0.2208588957055214,1.8220858895705525,1.3803680981595092,0.9386503067484664,Defender,2.2988248,3.9093683,4.3613153,2,0.9999999644448632,Conservative Defender
Bakaye Dibassy,Amiens,2018,MLI,DF,27.0,1.0,1.0,1.4,0.6,16.0,12.3,0.0647948164146868,75.7,264.1036717062635,46.8,54.16846652267819,0.8099352051835853,85.04319654427646,64.0,54.0,2.397408207343412,24.0,0.0647948164146868,2778.0,0.0323974082073434,0.0323974082073434,0.0453563714902807,0.019438444924406,0.5183585313174945,2.073434125269978,1.7494600431965444,0.7775377969762419,Defender,2.5677915,4.5241137,4.236518,2,0.9999040337890176,Conservative Defender
